,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,4893,new,697,Comedy,538,19.88909426987061,6.47248619958543
1,14518,life,391,Comedy,317,11.719038817005545,6.4834916268115075
2,3848,young,325,Comedy,297,10.979667282809611,6.258646852586949
3,17009,other,304,Comedy,263,9.722735674676525,6.443737402591539
4,12174,help,277,Comedy,255,9.426987060998151,6.448127903151295
5,7225,man,316,Comedy,251,9.279112754158964,6.364396959881188
6,799,family,284,Comedy,216,7.985212569316081,6.4748456433228405
7,13394,time,249,Comedy,213,7.8743068391866915,6.570791754638968
8,5921,he's,267,Comedy,212,7.837338262476894,6.3491890191232
9,6634,meets,219,Comedy,205,7.578558225508318,6.394568922698164
10,7979,way,217,Comedy,205,7.578558225508318,6.4219565517247394
11,6537,own,230,Comedy,203,7.5046210720887245,6.369491890917292
12,6682,old,232,Comedy,202,7.467652495378928,6.370347436206638
13,5600,first,203,Comedy,192,7.097966728280961,6.520745782367637
14,968,becomes,212,Comedy,189,6.987060998151571,6.386891306579
15,17457,decides,198,Comedy,184,6.802218114602588,6.346363640908568
16,17460,woman,209,Comedy,177,6.543438077634011,6.317682343273585
17,16466,friends,189,Comedy,174,6.432532347504621,6.394742236673122
18,6305,friend,177,Comedy,170,6.284658040665434,6.415037723324576
19,8705,world,186,Comedy,169,6.247689463955638,6.374583064886377
20,450,father,198,Comedy,168,6.210720887245841,6.445947084154243
21,3989,tries,183,Comedy,166,6.136783733826248,6.467738397555485
22,13781,become,177,Comedy,165,6.099815157116451,6.34438681921014
23,2548,school,215,Comedy,165,6.099815157116451,6.568313638246711
24,9062,years,179,Comedy,164,6.062846580406655,6.49487473793394
25,16233,wife,176,Comedy,161,5.951940850277264,6.3252977183926795
26,8858,big,175,Comedy,156,5.767097966728281,6.432196090690763
27,5509,story,190,Comedy,156,5.767097966728281,6.47667083927271
28,9059,doesn't,175,Comedy,154,5.693160813308688,6.5202572064966375
29,10958,things,164,Comedy,154,5.693160813308688,6.352286469692419
30,2240,town,194,Comedy,152,5.619223659889094,6.332360650675761
31,11195,high,170,Comedy,148,5.4713493530499075,6.513054256262885
32,10771,job,166,Comedy,147,5.434380776340111,6.404215209968392
33,13103,york,175,Comedy,147,5.434380776340111,6.438554893698085
34,16991,home,151,Comedy,144,5.323475046210721,6.350805718618173
35,2742,girl,155,Comedy,137,5.064695009242144,6.359421234574063
