,index,word,count,genres,title_occurrence,%_occurrence,mean_rating
0,383,nan,37,Short,37,40.21739130434783,6.181743071158982
1,523,film,8,Short,8,8.695652173913043,6.208894765828067
2,34,find,5,Short,5,5.434782608695652,6.656322694124285
3,247,new,6,Short,5,5.434782608695652,6.80607249637206
4,642,set,5,Short,5,5.434782608695652,5.843746530306957
